evidence_id,evidence_type,source_reference,person_id,related_person_id,related_vehicle_id,related_location_id,related_fir_id,collection_date,description,evidence_status,confidence_score,synthetic_data
SYN-EVD-0129,PHOTO_REFERENCE,ANALYST_UPLOAD,P011,P012,,LOC008,SYN-FIR-0024,2026-05-10,"Metadata record of photo reference associated with P011, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.38,True
SYN-EVD-0130,DIGITAL_ARTIFACT,PATROL_LOG,P006,P004,,,,2026-07-10,"Metadata record of digital artifact associated with P006, catalogued for prototype cross-reference purposes.",VERIFIED,0.31,True
SYN-EVD-0131,DIGITAL_ARTIFACT,FIELD_UNIT,P008,,,LOC005,,2026-03-20,"Metadata record of digital artifact associated with P008, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.62,True
SYN-EVD-0132,DIGITAL_ARTIFACT,FIELD_UNIT,P015,,,,SYN-FIR-0075,2026-01-01,"Metadata record of digital artifact associated with P015, catalogued for prototype cross-reference purposes.",VERIFIED,0.43,True
SYN-EVD-0133,PHOTO_REFERENCE,PATROL_LOG,P011,P003,,,SYN-FIR-0096,2026-03-11,"Metadata record of photo reference associated with P011, catalogued for prototype cross-reference purposes.",COLLECTED,0.83,True
SYN-EVD-0134,VEHICLE_OBSERVATION,ANALYST_UPLOAD,P013,P009,V015,LOC009,SYN-FIR-0021,2026-06-29,"Metadata record of vehicle observation associated with P013, catalogued for prototype cross-reference purposes.",COLLECTED,0.32,True
SYN-EVD-0135,FINANCIAL_RECORD,FIELD_UNIT,P010,P012,,,,2026-05-26,"Metadata record of financial record associated with P010, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.54,True
SYN-EVD-0136,LOCATION_OBSERVATION,FIELD_UNIT,P002,P015,,LOC008,SYN-FIR-0034,2026-02-11,"Metadata record of location observation associated with P002, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.38,True
SYN-EVD-0137,COMMUNICATION_RECORD,PATROL_LOG,P005,P002,,LOC010,,2026-05-23,"Metadata record of communication record associated with P005, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.49,True
SYN-EVD-0138,FINANCIAL_RECORD,DIGITAL_FORENSICS,P004,,,,,2026-02-06,"Metadata record of financial record associated with P004, catalogued for prototype cross-reference purposes.",COLLECTED,0.37,True
SYN-EVD-0139,DOCUMENT,DIGITAL_FORENSICS,P008,,,LOC004,SYN-FIR-0022,2026-04-13,"Metadata record of document associated with P008, catalogued for prototype cross-reference purposes.",COLLECTED,0.58,True
SYN-EVD-0140,FINANCIAL_RECORD,FIELD_UNIT,P009,P011,,LOC010,SYN-FIR-0032,2026-04-06,"Metadata record of financial record associated with P009, catalogued for prototype cross-reference purposes.",COLLECTED,0.7,True
SYN-EVD-0141,DOCUMENT,ANALYST_UPLOAD,P001,P014,,,SYN-FIR-0098,2026-08-18,"Metadata record of document associated with P001, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.31,True
SYN-EVD-0142,COMMUNICATION_RECORD,DIGITAL_FORENSICS,P013,P002,,LOC009,,2026-05-14,"Metadata record of communication record associated with P013, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.44,True
SYN-EVD-0143,PHOTO_REFERENCE,ANALYST_UPLOAD,P011,P002,,,,2026-07-24,"Metadata record of photo reference associated with P011, catalogued for prototype cross-reference purposes.",VERIFIED,0.91,True
SYN-EVD-0144,DIGITAL_ARTIFACT,FIELD_UNIT,P010,,V002,,,2026-05-16,"Metadata record of digital artifact associated with P010, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.84,True
SYN-EVD-0145,COMMUNICATION_RECORD,ANALYST_UPLOAD,P011,,,LOC005,,2026-08-18,"Metadata record of communication record associated with P011, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.59,True
SYN-EVD-0146,DIGITAL_ARTIFACT,FIELD_UNIT,P011,,,LOC010,,2026-01-27,"Metadata record of digital artifact associated with P011, catalogued for prototype cross-reference purposes.",VERIFIED,0.8,True
SYN-EVD-0147,DIGITAL_ARTIFACT,FIELD_UNIT,P004,P011,,LOC008,,2026-06-02,"Metadata record of digital artifact associated with P004, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.83,True
SYN-EVD-0148,LOCATION_OBSERVATION,DIGITAL_FORENSICS,P013,,,LOC007,,2026-05-12,"Metadata record of location observation associated with P013, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.83,True
SYN-EVD-0149,DOCUMENT,ANALYST_UPLOAD,P005,P001,,,,2026-08-23,"Metadata record of document associated with P005, catalogued for prototype cross-reference purposes.",VERIFIED,0.61,True
SYN-EVD-0150,VEHICLE_OBSERVATION,PATROL_LOG,P009,P006,V013,,,2026-05-11,"Metadata record of vehicle observation associated with P009, catalogued for prototype cross-reference purposes.",COLLECTED,0.96,True
SYN-EVD-0151,PHOTO_REFERENCE,FIELD_UNIT,P012,,,,SYN-FIR-0028,2026-05-26,"Metadata record of photo reference associated with P012, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.56,True
SYN-EVD-0152,VEHICLE_OBSERVATION,ANALYST_UPLOAD,P003,P005,V012,,,2026-04-30,"Metadata record of vehicle observation associated with P003, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.51,True
SYN-EVD-0153,FINANCIAL_RECORD,FIELD_UNIT,P013,,V006,,SYN-FIR-0023,2026-04-06,"Metadata record of financial record associated with P013, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.68,True
SYN-EVD-0154,LOCATION_OBSERVATION,ANALYST_UPLOAD,P005,,,LOC009,,2026-02-22,"Metadata record of location observation associated with P005, catalogued for prototype cross-reference purposes.",VERIFIED,0.75,True
SYN-EVD-0155,DOCUMENT,ANALYST_UPLOAD,P009,,,,SYN-FIR-0085,2026-07-22,"Metadata record of document associated with P009, catalogued for prototype cross-reference purposes.",COLLECTED,0.91,True
SYN-EVD-0156,COMMUNICATION_RECORD,DIGITAL_FORENSICS,P008,P001,V004,,,2026-08-24,"Metadata record of communication record associated with P008, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.32,True
SYN-EVD-0157,VEHICLE_OBSERVATION,ANALYST_UPLOAD,P008,P005,V005,LOC010,,2026-03-09,"Metadata record of vehicle observation associated with P008, catalogued for prototype cross-reference purposes.",VERIFIED,0.72,True
SYN-EVD-0158,PHOTO_REFERENCE,ANALYST_UPLOAD,P005,,V018,,,2026-07-11,"Metadata record of photo reference associated with P005, catalogued for prototype cross-reference purposes.",VERIFIED,0.76,True
SYN-EVD-0159,VEHICLE_OBSERVATION,PATROL_LOG,P006,P011,V016,,,2026-02-24,"Metadata record of vehicle observation associated with P006, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.65,True
SYN-EVD-0160,DOCUMENT,ANALYST_UPLOAD,P003,P010,V010,,,2026-05-20,"Metadata record of document associated with P003, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.48,True
SYN-EVD-0161,COMMUNICATION_RECORD,PATROL_LOG,P004,,,,,2026-06-03,"Metadata record of communication record associated with P004, catalogued for prototype cross-reference purposes.",VERIFIED,0.56,True
SYN-EVD-0162,COMMUNICATION_RECORD,PATROL_LOG,P005,P011,,,,2026-01-18,"Metadata record of communication record associated with P005, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.49,True
SYN-EVD-0163,FINANCIAL_RECORD,PATROL_LOG,P008,,,,SYN-FIR-0051,2026-06-03,"Metadata record of financial record associated with P008, catalogued for prototype cross-reference purposes.",VERIFIED,0.87,True
SYN-EVD-0164,DOCUMENT,PATROL_LOG,P005,P001,V019,,,2026-04-14,"Metadata record of document associated with P005, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.89,True
SYN-EVD-0165,FINANCIAL_RECORD,FIELD_UNIT,P002,,,,,2026-04-30,"Metadata record of financial record associated with P002, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.73,True
SYN-EVD-0166,LOCATION_OBSERVATION,PATROL_LOG,P011,,V013,LOC007,,2026-06-05,"Metadata record of location observation associated with P011, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.63,True
SYN-EVD-0167,VEHICLE_OBSERVATION,PATROL_LOG,P006,,V005,,,2026-02-21,"Metadata record of vehicle observation associated with P006, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.53,True
SYN-EVD-0168,DOCUMENT,ANALYST_UPLOAD,P015,P009,V019,,,2026-03-25,"Metadata record of document associated with P015, catalogued for prototype cross-reference purposes.",VERIFIED,0.83,True
SYN-EVD-0169,LOCATION_OBSERVATION,PATROL_LOG,P013,,V008,LOC004,,2026-01-13,"Metadata record of location observation associated with P013, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.89,True
SYN-EVD-0170,PHOTO_REFERENCE,PATROL_LOG,P011,,,,SYN-FIR-0009,2026-08-24,"Metadata record of photo reference associated with P011, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.91,True
SYN-EVD-0171,VEHICLE_OBSERVATION,FIELD_UNIT,P002,P011,V003,,,2026-02-17,"Metadata record of vehicle observation associated with P002, catalogued for prototype cross-reference purposes.",VERIFIED,0.45,True
SYN-EVD-0172,COMMUNICATION_RECORD,FIELD_UNIT,P011,,,,,2026-01-16,"Metadata record of communication record associated with P011, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.37,True
SYN-EVD-0173,PHOTO_REFERENCE,DIGITAL_FORENSICS,P005,,,,,2026-08-05,"Metadata record of photo reference associated with P005, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.49,True
SYN-EVD-0174,DIGITAL_ARTIFACT,FIELD_UNIT,P010,P001,,LOC009,SYN-FIR-0048,2026-04-17,"Metadata record of digital artifact associated with P010, catalogued for prototype cross-reference purposes.",COLLECTED,0.69,True
SYN-EVD-0175,COMMUNICATION_RECORD,FIELD_UNIT,P007,P011,,,,2026-05-25,"Metadata record of communication record associated with P007, catalogued for prototype cross-reference purposes.",VERIFIED,0.74,True
SYN-EVD-0176,VEHICLE_OBSERVATION,ANALYST_UPLOAD,P002,,V019,LOC008,,2026-03-16,"Metadata record of vehicle observation associated with P002, catalogued for prototype cross-reference purposes.",VERIFIED,0.71,True
SYN-EVD-0177,DOCUMENT,DIGITAL_FORENSICS,P007,P014,V017,LOC004,,2026-04-14,"Metadata record of document associated with P007, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.68,True
SYN-EVD-0178,LOCATION_OBSERVATION,FIELD_UNIT,P014,,,LOC001,,2026-01-25,"Metadata record of location observation associated with P014, catalogued for prototype cross-reference purposes.",VERIFIED,0.44,True
SYN-EVD-0179,DOCUMENT,DIGITAL_FORENSICS,P014,,,,SYN-FIR-0046,2026-08-08,"Metadata record of document associated with P014, catalogued for prototype cross-reference purposes.",VERIFIED,0.96,True
SYN-EVD-0180,VEHICLE_OBSERVATION,ANALYST_UPLOAD,P002,P004,V012,,SYN-FIR-0092,2026-02-09,"Metadata record of vehicle observation associated with P002, catalogued for prototype cross-reference purposes.",VERIFIED,0.37,True
SYN-EVD-0181,PHOTO_REFERENCE,PATROL_LOG,P006,,,,,2026-07-04,"Metadata record of photo reference associated with P006, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.87,True
SYN-EVD-0182,FINANCIAL_RECORD,DIGITAL_FORENSICS,P010,P007,,LOC001,,2026-04-19,"Metadata record of financial record associated with P010, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.82,True
SYN-EVD-0183,LOCATION_OBSERVATION,ANALYST_UPLOAD,P007,P015,,LOC003,SYN-FIR-0028,2026-01-11,"Metadata record of location observation associated with P007, catalogued for prototype cross-reference purposes.",COLLECTED,0.84,True
SYN-EVD-0184,DIGITAL_ARTIFACT,PATROL_LOG,P002,P001,,,,2026-05-12,"Metadata record of digital artifact associated with P002, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.62,True
SYN-EVD-0185,LOCATION_OBSERVATION,FIELD_UNIT,P015,P004,,LOC006,SYN-FIR-0014,2026-08-18,"Metadata record of location observation associated with P015, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.93,True
SYN-EVD-0186,COMMUNICATION_RECORD,FIELD_UNIT,P008,P012,,,,2026-07-02,"Metadata record of communication record associated with P008, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.57,True
SYN-EVD-0187,LOCATION_OBSERVATION,ANALYST_UPLOAD,P014,,,LOC008,,2026-08-24,"Metadata record of location observation associated with P014, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.38,True
SYN-EVD-0188,COMMUNICATION_RECORD,DIGITAL_FORENSICS,P010,P013,,,SYN-FIR-0051,2026-01-15,"Metadata record of communication record associated with P010, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.36,True
SYN-EVD-0189,PHOTO_REFERENCE,FIELD_UNIT,P013,P008,V008,,,2026-08-05,"Metadata record of photo reference associated with P013, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.48,True
SYN-EVD-0190,PHOTO_REFERENCE,FIELD_UNIT,P008,P014,,,,2026-03-14,"Metadata record of photo reference associated with P008, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.84,True
SYN-EVD-0191,PHOTO_REFERENCE,FIELD_UNIT,P010,P002,,,SYN-FIR-0001,2026-01-12,"Metadata record of photo reference associated with P010, catalogued for prototype cross-reference purposes.",COLLECTED,0.64,True
SYN-EVD-0192,FINANCIAL_RECORD,PATROL_LOG,P010,P014,,,,2026-06-27,"Metadata record of financial record associated with P010, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.75,True
SYN-EVD-0193,FINANCIAL_RECORD,FIELD_UNIT,P012,P003,,,,2026-03-22,"Metadata record of financial record associated with P012, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.96,True
SYN-EVD-0194,FINANCIAL_RECORD,FIELD_UNIT,P002,P007,,LOC004,,2026-02-04,"Metadata record of financial record associated with P002, catalogued for prototype cross-reference purposes.",VERIFIED,0.48,True
SYN-EVD-0195,VEHICLE_OBSERVATION,FIELD_UNIT,P013,P008,V020,,SYN-FIR-0025,2026-01-31,"Metadata record of vehicle observation associated with P013, catalogued for prototype cross-reference purposes.",COLLECTED,0.33,True
SYN-EVD-0196,LOCATION_OBSERVATION,ANALYST_UPLOAD,P012,,,LOC007,,2026-08-26,"Metadata record of location observation associated with P012, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.91,True
SYN-EVD-0197,LOCATION_OBSERVATION,FIELD_UNIT,P013,,,LOC001,,2026-02-22,"Metadata record of location observation associated with P013, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.84,True
SYN-EVD-0198,DOCUMENT,PATROL_LOG,P003,,,LOC003,SYN-FIR-0039,2026-01-12,"Metadata record of document associated with P003, catalogued for prototype cross-reference purposes.",VERIFIED,0.56,True
SYN-EVD-0199,PHOTO_REFERENCE,PATROL_LOG,P008,P012,,,,2026-04-17,"Metadata record of photo reference associated with P008, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.31,True
SYN-EVD-0200,FINANCIAL_RECORD,DIGITAL_FORENSICS,P001,P010,,,SYN-FIR-0099,2026-05-14,"Metadata record of financial record associated with P001, catalogued for prototype cross-reference purposes.",COLLECTED,0.66,True
SYN-EVD-0201,DOCUMENT,FIELD_UNIT,P001,,,,SYN-FIR-0069,2026-06-27,"Metadata record of document associated with P001, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.44,True
SYN-EVD-0202,DOCUMENT,FIELD_UNIT,P011,,,,,2026-03-24,"Metadata record of document associated with P011, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.49,True
SYN-EVD-0203,DOCUMENT,DIGITAL_FORENSICS,P012,P013,V006,,,2026-04-21,"Metadata record of document associated with P012, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.47,True
SYN-EVD-0204,VEHICLE_OBSERVATION,DIGITAL_FORENSICS,P001,P015,V007,,,2026-01-27,"Metadata record of vehicle observation associated with P001, catalogued for prototype cross-reference purposes.",COLLECTED,0.77,True
SYN-EVD-0205,VEHICLE_OBSERVATION,FIELD_UNIT,P002,P003,V018,LOC006,SYN-FIR-0072,2026-07-11,"Metadata record of vehicle observation associated with P002, catalogued for prototype cross-reference purposes.",VERIFIED,0.92,True
SYN-EVD-0206,COMMUNICATION_RECORD,DIGITAL_FORENSICS,P003,,,,,2026-06-22,"Metadata record of communication record associated with P003, catalogued for prototype cross-reference purposes.",COLLECTED,0.88,True
SYN-EVD-0207,COMMUNICATION_RECORD,PATROL_LOG,P006,P004,V008,LOC004,,2026-04-18,"Metadata record of communication record associated with P006, catalogued for prototype cross-reference purposes.",COLLECTED,0.87,True
SYN-EVD-0208,DOCUMENT,DIGITAL_FORENSICS,P015,P013,,,,2026-01-18,"Metadata record of document associated with P015, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.62,True
SYN-EVD-0209,DIGITAL_ARTIFACT,DIGITAL_FORENSICS,P001,P012,V019,LOC002,SYN-FIR-0035,2026-05-19,"Metadata record of digital artifact associated with P001, catalogued for prototype cross-reference purposes.",VERIFIED,0.66,True
SYN-EVD-0210,PHOTO_REFERENCE,FIELD_UNIT,P003,P013,,,,2026-04-07,"Metadata record of photo reference associated with P003, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.49,True
SYN-EVD-0211,COMMUNICATION_RECORD,PATROL_LOG,P015,,,LOC004,,2026-04-04,"Metadata record of communication record associated with P015, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.48,True
SYN-EVD-0212,DOCUMENT,ANALYST_UPLOAD,P001,P008,,LOC001,,2026-02-14,"Metadata record of document associated with P001, catalogued for prototype cross-reference purposes.",COLLECTED,0.61,True
SYN-EVD-0213,LOCATION_OBSERVATION,ANALYST_UPLOAD,P008,P002,,LOC003,,2026-06-20,"Metadata record of location observation associated with P008, catalogued for prototype cross-reference purposes.",COLLECTED,0.38,True
SYN-EVD-0214,DOCUMENT,DIGITAL_FORENSICS,P005,P009,,,SYN-FIR-0066,2026-07-07,"Metadata record of document associated with P005, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.68,True
SYN-EVD-0215,DIGITAL_ARTIFACT,PATROL_LOG,P015,,V014,,SYN-FIR-0022,2026-03-24,"Metadata record of digital artifact associated with P015, catalogued for prototype cross-reference purposes.",COLLECTED,0.36,True
SYN-EVD-0216,VEHICLE_OBSERVATION,PATROL_LOG,P008,,V015,,SYN-FIR-0058,2026-02-08,"Metadata record of vehicle observation associated with P008, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.49,True
SYN-EVD-0217,DIGITAL_ARTIFACT,FIELD_UNIT,P006,P013,,,SYN-FIR-0002,2026-07-02,"Metadata record of digital artifact associated with P006, catalogued for prototype cross-reference purposes.",COLLECTED,0.66,True
SYN-EVD-0218,PHOTO_REFERENCE,PATROL_LOG,P013,P010,V012,LOC006,,2026-03-12,"Metadata record of photo reference associated with P013, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.31,True
SYN-EVD-0219,COMMUNICATION_RECORD,DIGITAL_FORENSICS,P015,,,,SYN-FIR-0018,2026-04-29,"Metadata record of communication record associated with P015, catalogued for prototype cross-reference purposes.",VERIFIED,0.69,True
SYN-EVD-0220,DOCUMENT,ANALYST_UPLOAD,P007,P003,V016,LOC008,SYN-FIR-0096,2026-03-24,"Metadata record of document associated with P007, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.43,True
